"동별","항목",2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2025 1/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4,2024 4/4
"동별","항목",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"동대문구","등록외국인",19727,168,176,130,515,7316,5968,1905,994,590,441,404,457,353,172,78,28,9,13,8,2,-,19868,210,171,102,1260,8093,4996,1631,939,558,407,442,476,315,145,68,23,14,11,5,2,-
"중랑구","계",384320,7969,9680,11353,12236,18777,29944,33243,26287,27015,25190,30655,33134,33932,30485,20969,15309,10667,5303,1739,368,65,385349,8192,10006,11405,12335,19119,30224,33245,26427,27524,25053,31002,33149,34176,30365,20208,15091,10625,5123,1642,378,60
"중랑구","한국인",378067,7781,9497,11200,11998,17825,28939,32493,25605,26562,24816,30297,32730,33644,30345,20913,15288,10665,5301,1735,368,65,379274,7965,9828,11259,12009,18237,29309,32496,25766,27100,24710,30618,32741,33937,30245,20160,15074,10623,5121,1638,378,60
"중랑구","등록외국인",6253,188,183,153,238,952,1005,750,682,453,374,358,404,288,140,56,21,2,2,4,-,-,6075,227,178,146,326,882,915,749,661,424,343,384,408,239,120,48,17,2,2,4,-,-
"성북구","계",433569,9181,13018,16107,18882,35255,35623,30641,26970,30663,30637,37553,33701,30731,28001,19830,15852,12021,6316,2033,479,75,435037,9398,13383,16257,19092,35800,35460,30653,27188,31251,30643,37933,33475,30936,28016,19171,15649,12023,6180,1981,481,67
"성북구","한국인",420380,9056,12876,15981,18255,30781,32353,29244,26145,30023,30196,37198,33395,30517,27883,19768,15818,12005,6308,2026,479,73,421560,9246,13249,16128,17845,30939,32560,29408,26424,30677,30220,37584,33181,30746,27905,19120,15624,12010,6174,1974,481,65
"성북구","등록외국인",13189,125,142,126,627,4474,3270,1397,825,640,441,355,306,214,118,62,34,16,8,7,-,2,13477,152,134,129,1247,4861,2900,1245,764,574,423,349,294,190,111,51,25,13,6,7,-,2
"강북구","계",288797,4150,6250,8570,10122,17489,21409,19873,15676,18557,19439,25145,24894,24854,23339,17264,14085,10613,5157,1500,364,47,289374,4286,6443,8619,10267,17637,21367,19823,15705,18992,19493,25349,24863,25119,23252,16811,13975,10535,5032,1408,351,47
"강북구","한국인",282799,4072,6164,8518,9945,15742,20041,19280,15241,18220,19195,24910,24660,24654,23218,17215,14061,10604,5155,1498,362,44,283597,4189,6365,8573,9832,15996,20206,19307,15295,18679,19268,25109,24624,24927,23150,16766,13953,10529,5030,1405,350,44
"강북구","등록외국인",5998,78,86,52,177,1747,1368,593,435,337,244,235,234,200,121,49,24,9,2,2,2,3,5777,97,78,46,435,1641,1161,516,410,313,225,240,239,192,102,45,22,6,2,3,1,3
"도봉구","계",305391,5168,7572,10221,11370,15717,20392,20761,17308,20334,20433,26415,27024,27313,26053,18147,13493,10025,5428,1745,412,60,306032,5237,7835,10281,11515,16149,20454,20619,17444,20590,20538,26680,26966,27501,26090,17404,13310,10015,5267,1677,399,61
"도봉구","한국인",302545,5128,7509,10185,11270,15184,19933,20412,16988,20081,20280,26235,26847,27217,26002,18124,13485,10024,5425,1744,412,60,303228,5191,7776,10248,11349,15635,20017,20270,17135,20367,20376,26503,26789,27423,26051,17381,13303,10013,5265,1676,399,61
"도봉구","등록외국인",2846,40,63,36,100,533,459,349,320,253,153,180,177,96,51,23,8,1,3,1,-,-,2804,46,59,33,166,514,437,349,309,223,162,177,177,78,39,23,7,2,2,1,-,-
"노원구","계",495111,9942,14109,20778,25064,33136,32968,32579,29001,34478,37162,45147,40762,38017,35118,24851,18187,13231,7272,2610,607,92,496552,10089,14515,20898,24954,33616,33092,32689,29117,34977,37477,45718,40508,38323,35191,23920,17959,13131,7160,2542,580,96
"노원구","한국인",489831,9907,14038,20737,24840,31690,31826,31919,28588,34147,36934,44935,40559,37873,35046,24817,18174,13225,7269,2609,606,92,491247,10042,14450,20858,24558,32128,32019,32074,28724,34670,37231,45518,40312,38196,35126,23896,17946,13125,7157,2542,579,96
"노원구","등록외국인",5280,35,71,41,224,1446,1142,660,413,331,228,212,203,144,72,34,13,6,3,1,1,-,5305,47,65,40,396,1488,1073,615,393,307,246,200,196,127,65,24,13,6,3,-,1,-
"은평구","계",464466,9255,12413,16185,18183,24110,35473,37628,29949,33723,33616,40585,37614,36298,33310,23825,18662,13640,7211,2226,489,71,465350,9375,12879,16350,18236,24585,35545,37464,29992,34416,33620,40893,37353,36579,33261,23021,18534,13551,7062,2099,466,69
"은평구","한국인",460055,9185,12299,16102,18042,23751,34981,37085,29398,33230,33267,40253,37284,36034,33158,23759,18630,13619,7198,2223,486,71,460919,9289,12767,16268,18031,24243,35043,36889,29432,33951,33276,40570,37028,36344,33113,22963,18502,13534,7049,2095,463,69
"은평구","등록외국인",4411,70,114,83,141,359,492,543,551,493,349,332,330,264,152,66,32,21,13,3,3,-,4431,86,112,82,205,342,502,575,560,465,344,323,325,235,148,58,32,17,13,4,3,-
"서대문구","계",318085,7002,9174,10684,12050,25969,30099,25802,21340,22609,20969,25326,23742,22363,19927,13850,11276,8827,5067,1571,367,71,318622,7156,9467,10803,12239,26346,29613,25688,21392,22933,21041,25571,23751,22393,19918,13473,11157,8806,4941,1506,356,72
"서대문구","한국인",301943,6933,9050,10502,11434,20434,25956,24177,20440,21918,20456,24864,23373,22032,19677,13707,11192,8769,5039,1558,364,68,302853,7070,9337,10614,11097,20647,26175,24263,20558,22252,20559,25118,23404,22074,19677,13340,11075,8764,4913,1495,352,69
