,연령별(만)인구현황(기관별),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,행정기관 : 대전광역시 서구 ,,,,,,,,,,,출력일자 :,2025.05.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,통계년월 : 2025년 04월 현재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,연령,,서구,,,복수동,,,도마1동,,,도마2동,,,정림동,,,변동,,,용문동,,,탄방동,,,괴정동,,,가장동,,,내동,,,갈마1동,,,갈마2동,,,월평1동,,,월평2동,,,월평3동,,,가수원동,,,도안동,,,관저1동,,,관저2동,,,기성동,,,둔산1동,,,둔산2동,,,만년동,,,둔산3동,,
,,,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비,인구수,구성비,성비
,,남,"23,517",10.41,,"1,370",13.11,,607,6.60,,737,7.81,,674,9.44,,480,7.56,,529,6.54,,"1,076",8.62,,583,6.56,,446,8.85,,"1,108",10.55,,693,6.57,,837,7.11,,252,4.20,,549,8.72,,"1,230",12.68,,431,8.69,,"2,670",14.98,,715,10.54,,"2,986",12.95,,74,4.30,,"1,713",21.30,,"1,812",10.95,,547,8.93,,"1,398",15.58,
,,여,"22,244",9.46,,"1,367",12.82,,576,6.34,,633,6.65,,542,7.08,,430,6.95,,483,5.60,,"1,021",7.56,,589,6.30,,472,8.67,,"1,168",10.17,,648,6.29,,799,6.81,,236,4.69,,547,7.80,,"1,077",10.55,,414,8.02,,"2,541",13.66,,688,8.84,,"2,955",12.09,,64,3.96,,"1,535",18.67,,"1,712",9.54,,502,8.54,,"1,245",12.78,
,20세 ~ 29세,계,"64,795",14.05,100.96,"2,597",12.30,115.70,"2,656",14.53,126.62,"2,204",11.63,117.14,"1,438",9.72,109.62,"1,312",10.46,113.33,"2,544",15.22,86.37,"4,748",18.28,81.01,"4,079",22.37,73.21,"1,235",11.78,94.49,"2,592",11.79,100.77,"4,109",19.71,103.52,"4,942",21.04,89.78,"2,816",25.51,122.26,"1,381",10.38,118.51,"2,083",10.46,131.19,"1,047",10.34,127.61,"4,065",11.16,88.02,"2,385",16.37,84.88,"6,102",12.85,103.06,174,5.22,138.36,"1,416",8.71,125.12,"4,630",13.42,93.97,"2,101",17.51,148.64,"2,139",11.43,112.20
,,남,"32,552",14.41,,"1,393",13.33,,"1,484",16.13,,"1,189",12.60,,752,10.53,,697,10.98,,"1,179",14.57,,"2,125",17.03,,"1,724",19.41,,600,11.91,,"1,301",12.39,,"2,090",19.82,,"2,338",19.87,,"1,549",25.80,,749,11.90,,"1,182",12.18,,587,11.83,,"1,903",10.67,,"1,095",16.14,,"3,097",13.44,,101,5.87,,787,9.78,,"2,243",13.56,,"1,256",20.51,,"1,131",12.61,
,,여,"32,243",13.71,,"1,204",11.29,,"1,172",12.90,,"1,015",10.67,,686,8.96,,615,9.94,,"1,365",15.82,,"2,623",19.43,,"2,355",25.18,,635,11.66,,"1,291",11.25,,"2,019",19.61,,"2,604",22.21,,"1,267",25.16,,632,9.01,,901,8.82,,460,8.91,,"2,162",11.63,,"1,290",16.57,,"3,005",12.29,,73,4.52,,629,7.65,,"2,387",13.30,,845,14.38,,"1,008",10.35,
,30세 ~ 39세,계,"63,976",13.88,108.59,"2,065",9.78,103.45,"2,423",13.25,115.95,"2,436",12.85,117.31,"1,394",9.42,109.62,"1,452",11.58,124.42,"3,244",19.41,108.48,"4,682",18.02,106.62,"3,737",20.49,123.91,"1,159",11.05,117.04,"2,353",10.70,107.86,"3,400",16.31,134.00,"4,336",18.46,132.74,"2,054",18.61,157.39,"1,375",10.33,108.33,"2,371",11.91,92.92,"1,063",10.50,113.03,"5,605",15.39,88.34,"1,894",13.00,95.06,"6,464",13.61,96.89,215,6.44,117.17,"1,142",7.02,82.72,"5,551",16.09,99.25,"2,048",17.07,120.22,"1,513",8.08,96.24
,,남,"33,306",14.74,,"1,050",10.05,,"1,301",14.14,,"1,315",13.93,,729,10.21,,805,12.68,,"1,688",20.87,,"2,416",19.37,,"2,068",23.28,,625,12.41,,"1,221",11.63,,"1,947",18.46,,"2,473",21.02,,"1,256",20.92,,715,11.36,,"1,142",11.77,,564,11.37,,"2,629",14.75,,923,13.61,,"3,181",13.80,,116,6.74,,517,6.43,,"2,765",16.72,,"1,118",18.26,,742,8.27,
,,여,"30,670",13.04,,"1,015",9.52,,"1,122",12.35,,"1,121",11.78,,665,8.69,,647,10.45,,"1,556",18.04,,"2,266",16.79,,"1,669",17.84,,534,9.80,,"1,132",9.86,,"1,453",14.11,,"1,863",15.89,,798,15.85,,660,9.41,,"1,229",12.04,,499,9.66,,"2,976",16.00,,971,12.47,,"3,283",13.43,,99,6.13,,625,7.60,,"2,786",15.52,,930,15.83,,771,7.91,
,40세 ~ 49세,계,"69,535",15.08,95.27,"3,442",16.30,89.22,"2,198",12.02,114.65,"2,342",12.36,110.80,"1,835",12.40,101.65,"1,651",13.17,113.86,"2,395",14.33,106.29,"3,921",15.09,92.58,"2,466",13.52,115.75,"1,469",14.01,103.18,"3,225",14.67,92.88,"2,752",13.20,110.08,"3,144",13.38,107.66,"1,326",12.01,147.85,"1,530",11.50,86.59,"2,931",14.72,85.86,"1,250",12.35,105.25,"7,551",20.73,93.86,"1,917",13.16,87.21,"8,477",17.85,91.87,316,9.47,130.66,"3,641",22.38,78.31,"5,257",15.24,81.97,"1,568",13.07,84.25,"2,931",15.66,81.26
,,남,"33,926",15.02,,"1,623",15.53,,"1,174",12.76,,"1,231",13.04,,925,12.95,,879,13.84,,"1,234",15.25,,"1,885",15.11,,"1,323",14.89,,746,14.81,,"1,553",14.79,,"1,442",13.67,,"1,630",13.86,,791,13.18,,710,11.28,,"1,354",13.96,,641,12.92,,"3,656",20.51,,893,13.17,,"4,059",17.61,,179,10.40,,"1,599",19.88,,"2,368",14.32,,717,11.71,,"1,314",14.65,
